question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-006-006-007;What advantage does a transformer present when used for impedance matching at radio frequencies?;It can be designed to do so over a wide bandwidth;It supports larger power than reactive components;It provides constant voltage to the load;It isolates the source from reflections;Quel avantage présente un transformateur lorsqu'il est utilisé pour l'adaptation d'impédance en radiofréquence?;Il peut être conçu pour le faire sur une large plage de fréquences;Il permet une puissance plus importante que les composants réactifs;Il fournit une tension constante à la charge;Il isole la source des réflexions
B-006-006-008;Where does impedance matching need to be done to minimize transmission line losses in an antenna system?;At the junction between the transmission line and antenna;At the junction between the transmitter and the transmission line;Anywhere along the transmission line;At a quarter wavelength from the transmitter;Où faut-il effectuer l'adaptation d'impédance pour minimiser les pertes de ligne de transmission dans un système d'antenne?;Entre la ligne de transmission et l'antenne;Entre l'émetteur et la ligne de transmission;N'importe où le long de la ligne de transmission;À un quart de longueur d'onde de l'émetteur
B-006-006-009;If an antenna is correctly matched to a transmission line, the length of the transmission line:;will have no effect on the matching;must be a full wavelength long;must be an odd number of quarter-wavelengths;must be an even number of half-wavelengths;Si une antenne est correctement adaptée à une ligne de transmission, la longueur de la ligne de transmission:;n'a aucun effet sur l'adaptation d'impédance;doit être égale à une longueur d'onde;doit être égale à un nombre impair de quarts de longueur d'onde;doit être égale à un nombre pair de demi-longueurs d'onde
B-006-006-010;Why is an antenna tuner (external or internal) frequently used with modern solid-state transceivers?;It enables the transceivers to deliver rated power to a mismatched antenna system;It reduces losses in the line to the antenna;It reduces common-mode noise pickup;It absorbs the reflected energy from a mismatched antenna system;Pourquoi un bloc d'accord d'antenne (externe ou interne) est-il fréquemment utilisé avec les émetteurs-récepteurs modernes à semi-conducteurs?;Il permet aux émetteurs-récepteurs de fournir leur puissance nominale à un système d'antenne mal adapté;Il réduit les pertes dans la ligne vers l'antenne;Il réduit le captage de bruit en mode commun;Il absorbe l'énergie réfléchie par un système d'antenne mal adapté
B-006-006-011;If a transmission line with a characteristic impedance of 50 ohms feeds a folded dipole with a feed point impedance close to 300 ohms, what impedance transformation ratio is needed to match the two?;6:1;2:1;4:1;9:1;Si une ligne de transmission d'une impédance caractéristique de 50 ohms alimente un dipôle replié avec une impédance au point d'alimentation proche de 300 ohms, quel rapport de transformation d'impédance est nécessaire pour adapter les deux?;6:1;2:1;4:1;9:1
B-006-007-001;What does horizontal wave polarization mean?;The electric lines of force of a radio wave are parallel to the Earth's surface;The electric and magnetic lines of force of a radio wave are perpendicular to the Earth's surface;The electric lines of force of a radio wave are perpendicular to the Earth's surface;The magnetic lines of force of a radio wave are parallel to the Earth's surface;Qu'est-ce qui caractérise une onde électromagnétique de polarisation horizontale?;Les lignes de force électrique de l'onde sont parallèles au sol;Les lignes de force électrique et magnétique de l'onde sont perpendiculaires au sol;Les lignes de force électrique de l'onde sont perpendiculaires au sol;Les lignes de force magnétique de l'onde sont parallèles au sol
B-006-007-002;What does vertical wave polarization mean?;The electric lines of force of a radio wave are perpendicular to the Earth's surface;The magnetic lines of force of a radio wave are perpendicular to the Earth's surface;The electric and magnetic lines of force of a radio wave are parallel to the Earth's surface;The electric lines of force of a radio wave are parallel to the Earth's surface;Qu'est-ce qui caractérise une onde électromagnétique de polarisation verticale?;Les lignes de force électrique de l'onde sont perpendiculaires au sol;Les lignes de force magnétique de l'onde sont perpendiculaires au sol;Les lignes de force électrique et magnétique de l'onde sont parallèles au sol;Les lignes de force électrique de l'onde sont parallèles au sol
B-006-007-003;What electromagnetic wave polarization does a Yagi antenna have when its elements are parallel to the Earth's surface?;Horizontal;Elliptical;Vertical;Circular;Quelle est la polarisation de l'onde électromagnétique d'une antenne Yagi dont les éléments sont parallèles au sol?;Horizontale;Elliptique;Verticale;Circulaire
B-006-007-004;What electromagnetic wave polarization does a half-wavelength antenna have when it is perpendicular to the Earth's surface?;Vertical;Circular;Horizontal;Elliptical;Quelle est la polarisation d'une onde électromagnétique issue d'une antenne demi-onde érigée perpendiculairement au sol?;Verticale;Circulaire;Horizontale;Elliptique
B-006-007-005;Polarization of an antenna is determined by:;the orientation of the electric field relative to the Earth's surface;the orientation of the electric field relative to the transmission line;the orientation of the magnetic field relative to the Earth's surface;the orientation of the electric field relative to the magnetic field;La polarisation d'une antenne est déterminée par:;l'orientation de son champ électrique par rapport au sol;l'orientation de son champ électrique par rapport à la ligne de transmission;l'orientation de son champ magnétique par rapport à la surface du sol;l'orientation de son champ électrique par rapport à son champ magnétique
B-006-007-006;An isotropic antenna is:;a hypothetical point source;an infinitely long piece of wire;a dummy load;a half-wave reference dipole;Une antenne isotrope est:;une source ponctuelle hypothétique;un fil de longueur infinie;une charge fictive;un dipôle demi-onde de référence
B-006-007-007;What is the three-dimensional radiation pattern of an isotropic radiator?;A sphere;A torus (donut shape);A cardioid;A hemisphere;Quel est le diagramme de rayonnement tridimensionnel d'une antenne isotrope?;Une sphère;Un tore (une forme de beignet);Une forme de coeur;Une demi-sphère
B-006-007-008;VHF signals from a mobile station using a vertical whip antenna will normally be best received using a:;vertical ground-plane antenna;random length of wire;horizontal ground-plane antenna;horizontal dipole antenna;Lorsqu'une station mobile utilise une antenne verticale pour émettre des signaux VHF, la réception de ces signaux sera meilleure avec:;une antenne verticale à plan de sol;une longueur quelconque de fil;une antenne horizontale à plan de sol;une antenne dipôle horizontale
B-006-007-009;A dipole antenna will emit a vertically polarized wave if it is:;mounted vertically;mounted horizontally;too near to the ground;very high above ground;Une antenne dipôle émet une onde de polarisation verticale si:;elle est installée verticalement;elle est installée horizontalement;elle est trop proche du sol;elle est très loin du sol
B-006-007-010;If an electromagnetic wave leaves an antenna vertically polarized and reaches the receiving location by ground wave, what will be its final polarization?;Vertical;Oblique;Horizontal;Circular;Si une onde électromagnétique quitte une antenne polarisée verticalement et atteint le site de réception par onde de sol, quelle sera sa polarisation finale?;Verticale;Oblique;Horizontale;Circulaire
B-006-007-011;Compared with a horizontal antenna, a vertical antenna will receive a vertically polarized radio wave:;at higher strength;at lower strength;at about the same strength;at a strength depending on the height above ground;Par rapport à une antenne horizontale, une antenne verticale reçoit une onde radio polarisée verticalement:;avec une intensité plus élevée;avec une intensité plus faible;avec une intensité à peu près égale;avec une intensité qui dépendra de la hauteur par rapport au sol
B-006-008-001;A wire dipole has a resonant frequency of 3900 kHz. How can you change its resonant frequency to 3600 kHz?;Make it longer;Make it shorter;Install it as a sloper;Use smaller diameter wire;Une antenne dipôle filaire résonne à 3900 kHz. Comment changer sa fréquence de résonance à 3600 kHz?;En la rallongeant;En la raccourcissant;En l'installant comme une antenne demi-onde inclinée;En utilisant un fil de plus petit diamètre
